Subject ,Start Date,Start Time,End Date,End Time,All Day Event ,Description,Location,Private
Internet of Things,01-06-2020,9:00 AM,,10:00 AM,FALSE,Online class,,FALSE
Internet of Things,08-06-2020,9:00 AM,,10:00 AM,FALSE,Online class,,FALSE
Internet of Things,15-06-2020,9:00 AM,,10:00 AM,FALSE,Online class,,FALSE
Internet of Things,22-06-2020,9:00 AM,,10:00 AM,FALSE,Online class,,FALSE
Internet of Things,29-06-2020,9:00 AM,,10:00 AM,FALSE,Online class,,FALSE
Internet of Things,06-07-2020,9:00 AM,,10:00 AM,FALSE,Online class,,FALSE
Internet of Things,13-07-2020,9:00 AM,,10:00 AM,FALSE,Online class,,FALSE
Internet of Things,20-07-2020,9:00 AM,,10:00 AM,FALSE,Online class,,FALSE
Internet of Things,27-07-2020,9:00 AM,,10:00 AM,FALSE,Online class,,FALSE
CONA,01-06-2020,10:00 AM,,11:00 AM,FALSE,Online class,,FALSE
CONA,08-06-2020,10:00 AM,,11:00 AM,FALSE,Online class,,FALSE
CONA,15-06-2020,10:00 AM,,11:00 AM,FALSE,Online class,,FALSE
CONA,22-06-2020,10:00 AM,,11:00 AM,FALSE,Online class,,FALSE
CONA,29-06-2020,10:00 AM,,11:00 AM,FALSE,Online class,,FALSE
CONA,06-07-2020,10:00 AM,,11:00 AM,FALSE,Online class,,FALSE
CONA,13-07-2020,10:00 AM,,11:00 AM,FALSE,Online class,,FALSE
CONA,20-07-2020,10:00 AM,,11:00 AM,FALSE,Online class,,FALSE
CONA,27-07-2020,10:00 AM,,11:00 AM,FALSE,Online class,,FALSE
Software Engineering,01-06-2020,11:00 AM,,12:00 PM,FALSE,Online class,,FALSE
Software Engineering,08-06-2020,11:00 AM,,12:00 PM,FALSE,Online class,,FALSE
Software Engineering,15-06-2020,11:00 AM,,12:00 PM,FALSE,Online class,,FALSE
Software Engineering,22-06-2020,11:00 AM,,12:00 PM,FALSE,Online class,,FALSE
Software Engineering,29-06-2020,11:00 AM,,12:00 PM,FALSE,Online class,,FALSE
Software Engineering,06-07-2020,11:00 AM,,12:00 PM,FALSE,Online class,,FALSE
Software Engineering,13-07-2020,11:00 AM,,12:00 PM,FALSE,Online class,,FALSE
Software Engineering,20-07-2020,11:00 AM,,12:00 PM,FALSE,Online class,,FALSE
Software Engineering,27-07-2020,11:00 AM,,12:00 PM,FALSE,Online class,,FALSE
Internet and Web Programming,01-06-2020,1:00 PM,,2:00 PM,FALSE,Online class,,FALSE
Internet and Web Programming,08-06-2020,1:00 PM,,2:00 PM,FALSE,Online class,,FALSE
Internet and Web Programming,15-06-2020,1:00 PM,,2:00 PM,FALSE,Online class,,FALSE
Internet and Web Programming,22-06-2020,1:00 PM,,2:00 PM,FALSE,Online class,,FALSE
Internet and Web Programming,29-06-2020,1:00 PM,,2:00 PM,FALSE,Online class,,FALSE
Internet and Web Programming,06-07-2020,1:00 PM,,2:00 PM,FALSE,Online class,,FALSE
Internet and Web Programming,13-07-2020,1:00 PM,,2:00 PM,FALSE,Online class,,FALSE
Internet and Web Programming,20-07-2020,1:00 PM,,2:00 PM,FALSE,Online class,,FALSE
Internet and Web Programming,27-07-2020,1:00 PM,,2:00 PM,FALSE,Online class,,FALSE
Software Engineering,02-06-2020,9:00 AM,,10:00 AM,FALSE,Online class,,FALSE
Software Engineering,09-06-2020,9:00 AM,,10:00 AM,FALSE,Online class,,FALSE
Software Engineering,16-06-2020,9:00 AM,,10:00 AM,FALSE,Online class,,FALSE
Software Engineering,23-06-2020,9:00 AM,,10:00 AM,FALSE,Online class,,FALSE
Software Engineering,30-06-2020,9:00 AM,,10:00 AM,FALSE,Online class,,FALSE
Software Engineering,07-07-2020,9:00 AM,,10:00 AM,FALSE,Online class,,FALSE
Software Engineering,14-07-2020,9:00 AM,,10:00 AM,FALSE,Online class,,FALSE
Software Engineering,21-07-2020,9:00 AM,,10:00 AM,FALSE,Online class,,FALSE
Software Engineering,28-07-2020,9:00 AM,,10:00 AM,FALSE,Online class,,FALSE
CONA,02-06-2020,10:00 AM,,11:00 AM,FALSE,Online class,,FALSE
