Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Internet of Things,01-06-2020,09:00,,10:00,FALSE,Online class,,FALSE
Internet of Things,08-06-2020,09:00,,10:00,FALSE,Online class,,FALSE
Internet of Things,15-06-2020,09:00,,10:00,FALSE,Online class,,FALSE
Internet of Things,22-06-2020,09:00,,10:00,FALSE,Online class,,FALSE
Internet of Things,29-06-2020,09:00,,10:00,FALSE,Online class,,FALSE
Internet of Things,06-07-2020,09:00,,10:00,FALSE,Online class,,FALSE
Computer Oriented Numerical Analysis,01-06-2020,10:00,,11:00,FALSE,Online class,,FALSE
Computer Oriented Numerical Analysis,08-06-2020,10:00,,11:00,FALSE,Online class,,FALSE
Computer Oriented Numerical Analysis,15-06-2020,10:00,,11:00,FALSE,Online class,,FALSE
Computer Oriented Numerical Analysis,22-06-2020,10:00,,11:00,FALSE,Online class,,FALSE
Computer Oriented Numerical Analysis,29-06-2020,10:00,,11:00,FALSE,Online class,,FALSE
Computer Oriented Numerical Analysis,06-07-2020,10:00,,11:00,FALSE,Online class,,FALSE
Software Engineering,01-06-2020,11:00,,12:00,FALSE,Online class,,FALSE
Software Engineering,08-06-2020,11:00,,12:00,FALSE,Online class,,FALSE
Software Engineering,15-06-2020,11:00,,12:00,FALSE,Online class,,FALSE
Software Engineering,22-06-2020,11:00,,12:00,FALSE,Online class,,FALSE
Software Engineering,29-06-2020,11:00,,12:00,FALSE,Online class,,FALSE
Software Engineering,06-07-2020,11:00,,12:00,FALSE,Online class,,FALSE
Internet and Web Programming,01-06-2020,14:00,,15:00,FALSE,Online class,,FALSE
Internet and Web Programming,08-06-2020,14:00,,15:00,FALSE,Online class,,FALSE
Internet and Web Programming,15-06-2020,14:00,,15:00,FALSE,Online class,,FALSE
Internet and Web Programming,22-06-2020,14:00,,15:00,FALSE,Online class,,FALSE
Internet and Web Programming,29-06-2020,14:00,,15:00,FALSE,Online class,,FALSE
Internet and Web Programming,06-07-2020,14:00,,15:00,FALSE,Online class,,FALSE
Software Engineering,02-06-2020,09:00,,10:00,FALSE,Online class,,FALSE
Software Engineering,09-06-2020,09:00,,10:00,FALSE,Online class,,FALSE
Software Engineering,16-06-2020,09:00,,10:00,FALSE,Online class,,FALSE
Software Engineering,23-06-2020,09:00,,10:00,FALSE,Online class,,FALSE
Software Engineering,30-06-2020,09:00,,10:00,FALSE,Online class,,FALSE
Software Engineering,07-07-2020,09:00,,10:00,FALSE,Online class,,FALSE
Computer Oriented Numerical Analysis,02-06-2020,10:00,,11:00,FALSE,Online class,,FALSE
Computer Oriented Numerical Analysis,09-06-2020,10:00,,11:00,FALSE,Online class,,FALSE
Computer Oriented Numerical Analysis,16-06-2020,10:00,,11:00,FALSE,Online class,,FALSE
Computer Oriented Numerical Analysis,23-06-2020,10:00,,11:00,FALSE,Online class,,FALSE
Computer Oriented Numerical Analysis,30-06-2020,10:00,,11:00,FALSE,Online class,,FALSE
Computer Oriented Numerical Analysis,07-07-2020,10:00,,11:00,FALSE,Online class,,FALSE
Design and Analysis of Algorithms,02-06-2020,11:00,,12:00,FALSE,Online class,,FALSE
Design and Analysis of Algorithms,09-06-2020,11:00,,12:00,FALSE,Online class,,FALSE
Design and Analysis of Algorithms,16-06-2020,11:00,,12:00,FALSE,Online class,,FALSE
Design and Analysis of Algorithms,23-06-2020,11:00,,12:00,FALSE,Online class,,FALSE
Design and Analysis of Algorithms,30-06-2020,11:00,,12:00,FALSE,Online class,,FALSE
Design and Analysis of Algorithms,07-07-2020,11:00,,12:00,FALSE,Online class,,FALSE
Internet of Things,02-06-2020,12:00,,13:00,FALSE,Online class,,FALSE
Internet of Things,09-06-2020,12:00,,13:00,FALSE,Online class,,FALSE
Internet of Things,16-06-2020,12:00,,13:00,FALSE,Online class,,FALSE
Internet of Things,23-06-2020,12:00,,13:00,FALSE,Online class,,FALSE
Internet of Things,30-06-2020,12:00,,13:00,FALSE,Online class,,FALSE
Internet of Things,07-07-2020,12:00,,13:00,FALSE,Online class,,FALSE
Formal Languages and Automaton Theory,03-06-2020,09:00,,10:00,FALSE,Online class,,FALSE
Formal Languages and Automaton Theory,10-06-2020,09:00,,10:00,FALSE,Online class,,FALSE
Formal Languages and Automaton Theory,17-06-2020,09:00,,10:00,FALSE,Online class,,FALSE
Formal Languages and Automaton Theory,24-06-2020,09:00,,10:00,FALSE,Online class,,FALSE
Formal Languages and Automaton Theory,01-07-2020,09:00,,10:00,FALSE,Online class,,FALSE
Formal Languages and Automaton Theory,08-07-2020,09:00,,10:00,FALSE,Online class,,FALSE
Internet and Web Programming,03-06-2020,10:00,,11:00,FALSE,Online class,,FALSE
Internet and Web Programming,10-06-2020,10:00,,11:00,FALSE,Online class,,FALSE
Internet and Web Programming,17-06-2020,10:00,,11:00,FALSE,Online class,,FALSE
Internet and Web Programming,24-06-2020,10:00,,11:00,FALSE,Online class,,FALSE
Internet and Web Programming,01-07-2020,10:00,,11:00,FALSE,Online class,,FALSE
Internet and Web Programming,08-07-2020,10:00,,11:00,FALSE,Online class,,FALSE
Computer Oriented Numerical Analysis,03-06-2020,11:00,,12:00,FALSE,Online class,,FALSE
Computer Oriented Numerical Analysis,10-06-2020,11:00,,12:00,FALSE,Online class,,FALSE
Computer Oriented Numerical Analysis,17-06-2020,11:00,,12:00,FALSE,Online class,,FALSE
Computer Oriented Numerical Analysis,24-06-2020,11:00,,12:00,FALSE,Online class,,FALSE
Computer Oriented Numerical Analysis,01-07-2020,11:00,,12:00,FALSE,Online class,,FALSE
Computer Oriented Numerical Analysis,08-07-2020,11:00,,12:00,FALSE,Online class,,FALSE
Design and Analysis of Algorithms,03-06-2020,12:00,,13:00,FALSE,Online class,,FALSE
Design and Analysis of Algorithms,10-06-2020,12:00,,13:00,FALSE,Online class,,FALSE
Design and Analysis of Algorithms,17-06-2020,12:00,,13:00,FALSE,Online class,,FALSE
Design and Analysis of Algorithms,24-06-2020,12:00,,13:00,FALSE,Online class,,FALSE
Design and Analysis of Algorithms,01-07-2020,12:00,,13:00,FALSE,Online class,,FALSE
Design and Analysis of Algorithms,08-07-2020,12:00,,13:00,FALSE,Online class,,FALSE
Internet and Web Programming,04-06-2020,09:00,,10:00,FALSE,Online class,,FALSE
Internet and Web Programming,11-06-2020,09:00,,10:00,FALSE,Online class,,FALSE
Internet and Web Programming,18-06-2020,09:00,,10:00,FALSE,Online class,,FALSE
Internet and Web Programming,25-06-2020,09:00,,10:00,FALSE,Online class,,FALSE
Internet and Web Programming,02-07-2020,09:00,,10:00,FALSE,Online class,,FALSE
Internet and Web Programming,09-07-2020,09:00,,10:00,FALSE,Online class,,FALSE
Formal Languages and Automaton Theory,04-06-2020,10:00,,11:00,FALSE,Online class,,FALSE
Formal Languages and Automaton Theory,11-06-2020,10:00,,11:00,FALSE,Online class,,FALSE
Formal Languages and Automaton Theory,18-06-2020,10:00,,11:00,FALSE,Online class,,FALSE
Formal Languages and Automaton Theory,25-06-2020,10:00,,11:00,FALSE,Online class,,FALSE
Formal Languages and Automaton Theory,02-07-2020,10:00,,11:00,FALSE,Online class,,FALSE
Formal Languages and Automaton Theory,09-07-2020,10:00,,11:00,FALSE,Online class,,FALSE
Design and Analysis of Algorithms,04-06-2020,11:00,,12:00,FALSE,Online class,,FALSE
Design and Analysis of Algorithms,11-06-2020,11:00,,12:00,FALSE,Online class,,FALSE
Design and Analysis of Algorithms,18-06-2020,11:00,,12:00,FALSE,Online class,,FALSE
Design and Analysis of Algorithms,25-06-2020,11:00,,12:00,FALSE,Online class,,FALSE
Design and Analysis of Algorithms,02-07-2020,11:00,,12:00,FALSE,Online class,,FALSE
Design and Analysis of Algorithms,09-07-2020,11:00,,12:00,FALSE,Online class,,FALSE
Software Engineering,04-06-2020,12:00,,13:00,FALSE,Online class,,FALSE
